pmt_id,payment_method_type,country,payment_method_type_name,pmt_type
9ab2c6e9-6998-11e8-ad14-060fa91e3c30,cash,AU,blueshyft cash,blueshyft
50e6a8a7-8449-11e8-ad14-060fa91e3c30,bank_redirect,CL,Bank Redirect,chilepse
545c8203-84e4-11e8-ad14-060fa91e3c30,bank_redirect,CO,Bank Redirect,colombiapse
818cf06c-84e4-11e8-ad14-060fa91e3c30,bank_redirect,MX,Bank Redirect,mexicopse
8b18f3b5-9e72-11e8-85bb-126629637faa,bank_redirect,MX,BBVA,mx_bbva_bank
eda52f6b-9e72-11e8-85bb-126629637faa,bank_redirect,MX,Santander MEX,mx_santander_bank
50e98c86-9e73-11e8-85bb-126629637faa,bank_redirect,CR,Cathay,cr_cathay_bank
50e3cf03-9e73-11e8-85bb-126629637faa,bank_redirect,MX,online bank payment banorte mexico,mx_banorte_bank
50e5fcd5-9e73-11e8-85bb-126629637faa,bank_redirect,MX,bank transfer payment citibanamex mexico,mx_citibanamex_bank
50e70957-9e73-11e8-85bb-126629637faa,bank_redirect,CR,Promerica,cr_promerica_bank
50e4d43d-9e73-11e8-85bb-126629637faa,bank_redirect,MX,Scotiabank Mexico,mx_scotiabank_bank
80476a2c-9e73-11e8-85bb-126629637faa,bank_redirect,CR,Banco Popular y de Desarrollo Comunal,cr_bancopopular_bank
aaa691a5-9e73-11e8-85bb-126629637faa,bank_redirect,CO,Banco Pichincha COL,co_bancopichincha_bank
aa98c2db-9e73-11e8-85bb-126629637faa,bank_redirect,BR,Banco Itau Brasil,br_bancoitau_bank
aaa9734e-9e73-11e8-85bb-126629637faa,bank_redirect,CO,Bancolombia,co_bancolombia_bank
aa96e6ed-9e73-11e8-85bb-126629637faa,bank_redirect,BR,Santander,br_santander_bank
aaa2485c-9e73-11e8-85bb-126629637faa,bank_redirect,CO,Banco Caja Social,co_cajasocial_bank
aab3be77-9e73-11e8-85bb-126629637faa,bank_redirect,PE,Scotiabank,pe_scotiabank_bank
aab74f31-9e73-11e8-85bb-126629637faa,bank_redirect,PE,Caja Tacna,pe_cajatacna_bank
aaae70c7-9e73-11e8-85bb-126629637faa,bank_redirect,CO,online bank payment Banco Agrario Colombia,co_bancoagraio_bank
aac0c8c4-9e73-11e8-85bb-126629637faa,cash,CR,Cash Payments Scotiabank Costa Rica ,cr_scotiabank_cash
aa9b77b1-9e73-11e8-85bb-126629637faa,bank_redirect,CL,Banco Santander One Step,cl_bancosantander_bank
aa9a9b09-9e73-11e8-85bb-126629637faa,bank_redirect,CL,Banco Estado Chile,cl_bancoestado_bank
aa97dba1-9e73-11e8-85bb-126629637faa,bank_redirect,BR,Banco do Brasil SafetyPay,br_bancodobrazil_bank
aab2dc09-9e73-11e8-85bb-126629637faa,bank_redirect,MX,bank transfer payment Banco de Credito Mx,mx_bancodecredito_bank
aab674b5-9e73-11e8-85bb-126629637faa,bank_redirect,PE,Caja Huancayo,pe_cajahuancayo_bank
aabfe953-9e73-11e8-85bb-126629637faa,cash,CR,Correos de Costa Rica,cr_correosdecosta_cash
aab11afd-9e73-11e8-85bb-126629637faa,bank_redirect,EC,Banco Guayaquil,ec_bancoguayaquil_bank
aaad9672-9e73-11e8-85bb-126629637faa,bank_redirect,CO,Nequi,co_nequi_bank
aa9ebb9a-9e73-11e8-85bb-126629637faa,bank_redirect,CO,BBVA,co_bbva_bank
aa9c563e-9e73-11e8-85bb-126629637faa,bank_redirect,CL,Banco de Chile One Step,cl_bancodechile_bank
aa953508-9e73-11e8-85bb-126629637faa,bank_redirect,CR,Banco Nacional de Costa Rica,cr_banconacionalde_bank
aa9ddeb3-9e73-11e8-85bb-126629637faa,bank_redirect,CL,Banco BBVA Chile One Step,cl_bancobbva_bank
aaac10bb-9e73-11e8-85bb-126629637faa,bank_redirect,CO,Itaú,co_itau_bank
aab499fe-9e73-11e8-85bb-126629637faa,bank_redirect,PE,Interbank,pe_interbank_bank
aaa191d1-9e73-11e8-85bb-126629637faa,bank_redirect,CO,Banco AV Villa,co_bancoavvilas_bank
aab58b00-9e73-11e8-85bb-126629637faa,bank_redirect,MX,bank transfer payment Caja Arequipa Peru,mx_cajaarequipa_bank
aa960e8f-9e73-11e8-85bb-126629637faa,bank_redirect,BR,Bradesco,br_bradesco_bank
aaab02c4-9e73-11e8-85bb-126629637faa,bank_redirect,CO,Citibank Colombia,co_citibank_bank
aa9d3001-9e73-11e8-85bb-126629637faa,bank_redirect,CL,Banco BCI One Step,cl_bancobci_bank
aab201ab-9e73-11e8-85bb-126629637faa,bank_redirect,PE,BBVA Continental,pe_bbvacontinental_bank
aab02b93-9e73-11e8-85bb-126629637faa,bank_redirect,EC,Banco Pichincha,ec_bancopichincha_bank
aab83147-9e73-11e8-85bb-126629637faa,bank_redirect,PE,Caja Trujillo,pe_cajatrujillo_bank
aaaa2f4d-9e73-11e8-85bb-126629637faa,bank_redirect,CO,BANCOOMEVA,co_bancoomeva_bank
c1482f53-9e73-11e8-85bb-126629637faa,cash,MX,Cash Payments Retail Stores Mexico,mx_retailstores_cash
c14e4cee-9e73-11e8-85bb-126629637faa,cash,MX,HSBC Mexico,mx_hsbc_cash
c151923f-9e73-11e8-85bb-126629637faa,cash,MX,Banco Inbursa,mx_bancoinbursa_cash
c14539d9-9e73-11e8-85bb-126629637faa,cash,MX,Banamex WS,mx_banamex_cash
c16e63ab-9e73-11e8-85bb-126629637faa,cash,AU,Cash Payments Retail Australia,au_cash_cash
c182e553-9e73-11e8-85bb-126629637faa,bank_transfer,ID,QNB Virtual Account,id_qnb_bank
c13ee524-9e73-11e8-85bb-126629637faa,cash,EC,Cash payment Banco Pichincha Ecuador,ec_pichincha_cash
c1e98f1f-9e73-11e8-85bb-126629637faa,cash,MX,Cash Payments PaysafeCard Mexico,mepsccash
c1b303d4-9e73-11e8-85bb-126629637faa,cash,CZ,Cash Payments PaysafeCard Czech Republic,czp_psc_cash
c1b006ef-9e73-11e8-85bb-126629637faa,cash,CY,Cash Payments PaysafeCard Cyprus,cyp_psc_cash
c1892346-9e73-11e8-85bb-126629637faa,cash,ID,Indomaret,id_Indomaret_cash
c204c844-9e73-11e8-85bb-126629637faa,cash,SI,Cash Payments PaysafeCard Slovenia,si_psc_cash
c19b33d5-9e73-11e8-85bb-126629637faa,cash,AR,Cash Payments PaysafeCard Argentina,ar_psc_cash
6deafcaa-af90-11e8-a933-0ea3bb4200ce,ewallet,CN,WeChat Pay,cn_wechat_ewallet
b299beef-af91-11e8-a933-0ea3bb4200ce,bank_redirect,AU,online bank payment Bankwest Australia,au_bankwest_bank
b299b98e-af91-11e8-a933-0ea3bb4200ce,bank_redirect,AU,online bank payment ANZ Australia,au_anz_bank
b299bc0a-af91-11e8-a933-0ea3bb4200ce,bank_redirect,AU,online bank payment BOQ Australia,au_boq_bank
b299c7a5-af91-11e8-a933-0ea3bb4200ce,bank_redirect,AU,online bank payment ME Bank Australia,au_me_bank
b299c053-af91-11e8-a933-0ea3bb4200ce,bank_redirect,AU,online bank payment Bendigo Bank Australia,au_bendigo_bank
b299cdf9-af91-11e8-a933-0ea3bb4200ce,bank_redirect,AU,online bank payment Westpac Australia,au_westpac_bank
b299c2cc-af91-11e8-a933-0ea3bb4200ce,bank_redirect,AU,online bank payment Citibank Australia,au_citibank_bank
6134c477-ef15-4ce0-bb9c-7d1d4ccb5975,bank_redirect,NZ,online bank payment ASB New Zealand,nz_asb_bank
b299c500-af91-11e8-a933-0ea3bb4200ce,bank_redirect,AU,online bank payment CUA Australia,au_cua_bank
62a566c4-962a-4a98-a250-9b4d31695006,bank_redirect,NZ,online bank payment Bank Direct New Zealand,nz_bankdirect_bank
b299cbde-af91-11e8-a933-0ea3bb4200ce,bank_redirect,AU,online bank payment St. George Bank Australia,au_georgebank_bank
b299c672-af91-11e8-a933-0ea3bb4200ce,bank_redirect,AU,online bank payment IMB Building Society Australia,au_imb_bank
b299bad9-af91-11e8-a933-0ea3bb4200ce,bank_redirect,AU,online bank payment Bank of Melbourne Australia,au_melbourne_bank
b299c8bb-af91-11e8-a933-0ea3bb4200ce,bank_redirect,AU,online bank payment NAB Australia,au_nab_bank
b299c9c5-af91-11e8-a933-0ea3bb4200ce,bank_redirect,AU,online bank payment Newcastle Permanent Australia,au_newcastlepermanent_bank
b299bda1-af91-11e8-a933-0ea3bb4200ce,bank_redirect,AU,online bank payment BankSA Australia,au_banksa_bank
8839d83c-91b3-4256-8227-d5d720b40a10,bank_redirect,NZ,online bank payment TSB Bank New Zealand,nz_tsb_bank
b299ccee-af91-11e8-a933-0ea3bb4200ce,bank_redirect,AU,online bank payment Suncorp Australia,au_suncorp_bank
90e04c4b-7a0d-419d-8963-d02f27bc95a2,bank_redirect,NZ,online bank payment BNZ New Zealand,nz_bnz_bank
b299cad1-af91-11e8-a933-0ea3bb4200ce,bank_redirect,AU,online bank payment Peoples Choice Credit Union Australia,au_choicecreditunion_bank
a37b7393-96e5-44d3-b36e-8392f0798583,bank_redirect,NZ,online bank payment Kiwibank New Zealand,nz_kiwibank_bank
